Emulsion Thickness,Triazine % in Paint 1 ,Triazine % in Paint 2,Paint 1 Cohesion,Paint 2 Cohesion,Paints 1 & 2 Mix Ratio (%),Glass temp. prior coating
13,60,45,50.40,44,45.50,33
13,60,85,50.40,54,53.80,33
12,60,55,50.8,50,65,31
12,60,85,50.8,50,67.6,31
12,60,85,50.8,50,46.2,31
12,60,55,50.8,50,65,32
12,60,85,50.8,50,65.8,32
12,60,85,50.8,50,67,31
12,60,85,50.8,50,56.2,31
12,60,55,52,50,47.5,32
